,Letter,City,Population
0,а,Астрахань,529793
1,а,Архангельск,346979
2,а,Ангарск,224630
3,а,Армавир,188960
4,а,Абакан,186797
5,а,Альметьевск,158429
6,а,Артем,105675
7,а,Ачинск,105531
8,а,Арзамас,103979
9,а,Анапа,88879
10,а,Азов,80428
11,а,Анжеро-Судженск,68116
12,а,Асбест,62908
13,а,Александров,57899
14,а,Алексин,57516
15,а,Апатиты,54667
16,а,Арсеньев,52173
17,а,Аксай,46018
18,а,Апшеронск,39488
19,а,Аргун,39275
20,а,Абинск,39058
21,а,Амурск,38913
22,а,Алексеевка,37811
23,а,Алапаевск,37131
24,а,Ахтубинск,36544
25,а,Азнакаево,34197
26,а,Алатырь,33752
27,а,Апрелевка,30669
28,а,Артемовский,30101
29,а,Алушта,30088
30,а,Аша,29066
31,а,Алейск,28974
32,а,Асино,24346
33,а,Аткарск,24125
34,а,Арск,22970
35,а,Армянск,21406
36,а,Алдан,20631
37,а,Алагир,19737
38,а,Агрыз,19721
39,а,Ардон,19298
40,а,Абдулино,18581
41,а,Анадырь,15819
42,а,Арамиль,15446
43,а,Абаза,14990
44,а,Агидель,14219
45,а,Ак-Довурак,13609
46,а,Адыгейск,12721
47,а,Александровск,11935
48,а,Аркадак,11516
49,а,Анива,9378
50,а,Александровск-Сахалинский,9125
51,а,Ардатов,8294
52,а,Алупка,8075
53,а,Андреаполь,6801
54,а,Алзамай,5749
55,а,Артемовск,1562
56,б,Барнаул,632391
57,б,Балашиха,507366
58,б,Брянск,420444
59,б,Белгород,394142
60,б,Братск,226269
61,б,Бийск,199464
62,б,Балаково,187523
63,б,Березники,139209
64,б,Батайск,127919
65,б,Бердск,104334
66,б,Бузулук,86103
67,б,Бугульма,82488
68,б,Бор,76872
69,б,Балашов,75773
70,б,Биробиджан,71843
71,б,Белово,71240
72,б,Буйнакск,65658
73,б,Белогорск,65315
74,б,Белорецк,64921
75,б,Будённовск,61329
76,б,Борисоглебск,59864
77,б,Белебей,59229
78,б,Березовский,59030
79,б,Белореченск,51590
80,б,Боровичи,49012
81,б,Бугуруслан,48546
82,б,Балахна,48520
83,б,Бирск,48388
84,б,Белая Калитва,39293
85,б,Большой Камень,39096
86,б,Баксан,38474
87,б,Беслан,37371
88,б,Благовещенск,34771
89,б,Богородск,33756
90,б,Балтийск,33658
91,б,Богородицк,30433
92,б,Благодарный,30399
93,б,Богданович,29294
94,б,Борзя,29225
95,б,Барабинск,28704
96,б,Бахчисарай,26680
97,б,Балабаново,25574
98,б,Бутурлиновка,24007
99,б,Буй,23233
100,б,Бронницы,22531
101,б,Бавлы,22157
102,б,Бологое,20498
103,б,Бежецк,20418
104,б,Буинск,20416
105,б,Бобров,20007
106,б,Белоярский,19622
107,б,Боготол,19576
108,б,Бакал,18706
109,б,Баймак,17179
110,б,Бикин,16104
111,б,Бородино,16055
112,б,Барыш,15541
113,б,Болотное,15478
114,б,Белокуриха,15192
115,б,Бокситогорск,15091
116,б,Белев,12597
117,б,Байкальск,12534
118,б,Бодайбо,11982
119,б,Бабаево,11521
120,б,Богучар,11048
